x1,y1,x2,y2,width_m,height_m,area_m,category
662,531,724,632,12,20,250,Big
600,497,663,599,13,20,256,Big
655,34,731,152,15,24,360,Big
825,562,859,627,7,13,87,Small
394,416,459,512,13,19,247,Big
513,746,552,779,8,7,52,Small
775,310,809,382,7,14,97,Small
895,244,980,355,17,22,381,Big
529,526,561,578,6,10,65,Small
984,266,1042,333,12,13,154,Medium
546,576,600,651,11,15,164,Medium
402,653,494,691,18,8,138,Medium
546,411,633,526,17,23,398,Big
499,609,550,686,10,15,156,Medium
460,749,478,779,3,6,21,Small
504,324,600,423,19,20,380,Big
205,609,312,674,21,13,277,Big
569,300,630,359,12,12,144,Medium
889,35,939,81,10,9,92,Small
634,353,715,433,16,16,259,Big
431,752,459,779,6,5,30,Small
475,748,498,779,5,6,29,Small
719,43,789,150,14,21,303,Big
989,0,1028,51,8,10,81,Small
744,212,782,286,7,15,111,Medium
617,226,669,294,10,13,141,Medium
680,260,739,299,12,8,92,Small
824,271,888,318,13,9,117,Medium
591,175,647,238,11,13,139,Medium
763,649,855,685,18,7,133,Medium
761,557,793,633,6,15,96,Small
1026,194,1065,265,8,14,111,Medium
0,11,71,96,14,17,241,Big
918,90,971,147,10,11,119,Medium
61,339,153,430,18,18,330,Big
236,121,304,195,14,15,200,Big
832,333,899,371,13,8,101,Medium
342,66,420,160,16,19,291,Big
1210,693,1273,777,13,17,212,Big
163,25,261,124,19,20,386,Big
80,536,130,608,10,14,142,Medium
686,304,753,348,13,9,119,Medium
1169,0,1231,24,13,5,61,Small
716,580,743,629,5,10,52,Small
630,734,652,778,4,9,38,Small
151,372,214,437,13,13,163,Medium
763,748,853,779,18,6,110,Medium
796,82,888,176,19,19,346,Big
442,527,489,571,10,9,83,Small
345,638,377,692,6,11,70,Small
537,242,593,301,11,12,134,Medium
97,0,155,47,12,9,111,Medium
938,0,977,37,8,7,58,Small
93,158,212,271,24,23,539,Big
138,541,203,586,13,9,118,Medium
407,39,458,95,10,11,117,Medium
794,498,858,541,13,9,110,Medium
635,443,691,509,11,13,148,Medium
699,653,753,688,11,7,77,Small
661,730,686,777,5,9,48,Small
723,483,789,521,13,7,98,Small
632,653,696,689,13,7,92,Small
363,494,419,553,11,12,133,Medium
766,713,821,748,11,7,76,Small
1057,0,1096,87,8,17,134,Medium
226,554,290,601,13,10,122,Medium
106,607,163,666,11,12,134,Medium
235,671,300,727,13,11,142,Medium
382,269,445,364,13,19,239,Big
670,185,734,230,13,9,117,Medium
1048,628,1178,689,26,12,318,Big
319,187,362,262,9,15,128,Medium
889,544,926,613,7,14,104,Medium
346,585,483,630,27,9,246,Big
60,87,135,171,15,17,255,Big
972,61,1032,127,12,13,159,Medium
292,373,348,433,11,12,135,Medium
1119,469,1237,572,23,21,484,Big
230,479,313,552,17,15,241,Big
495,746,507,779,2,7,16,Small
1024,685,1139,772,23,18,402,Big
733,735,758,777,5,8,41,Small
1255,576,1280,659,5,17,81,Small
33,298,100,368,13,14,187,Medium
352,355,393,404,8,10,79,Small
254,225,327,345,14,24,346,Big
893,602,961,667,14,13,178,Medium
1185,383,1269,475,17,18,311,Big
411,749,432,779,4,6,25,Small
402,0,479,39,15,8,120,Medium
3,156,54,209,10,11,110,Medium
932,159,1031,262,20,21,407,Big
696,734,731,778,7,9,61,Small
494,0,537,51,9,10,87,Small
271,0,314,33,9,7,58,Small
1128,38,1148,75,4,8,30,Small
525,123,592,193,13,14,185,Medium
763,150,812,199,10,10,95,Small
830,27,883,81,11,11,115,Medium
180,421,226,466,9,9,85,Small
456,37,519,105,13,14,173,Medium
333,441,390,490,11,10,112,Medium
25,194,76,242,10,9,96,Small
1076,551,1208,632,26,16,428,Big
297,145,343,191,9,9,84,Small
611,734,630,778,4,9,33,Small
549,2,603,66,11,13,136,Medium
